,mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,time_diff,corr_iqr_outlier
11464677,116,2023-06-13 09:37:10+00:00,51.0164104,3.7729517,33.0,42.0,210.0,179.0,798.0,794.0,78.0,76.0,79.0,77.0,55.0,False
16292628,116,2023-08-17 16:56:12+00:00,50.7708707,3.8724033,40.0,39.0,376.0,327.0,1498.0,1496.0,83.0,80.0,85.0,82.0,8.0,True
10603093,155,2023-05-01 20:14:18+00:00,51.0322688,3.7415008,23.0,31.0,400.0,382.0,1500.0,1500.0,82.0,87.0,82.0,87.0,61.0,True
2005629,175,2023-09-08 15:35:16+00:00,51.1626793,4.7061433,51.0,45.0,193.0,255.0,799.0,798.0,86.0,85.0,86.0,84.0,60.0,False
11561445,116,2023-05-06 17:15:21+00:00,50.7439775,3.6079556,37.0,38.0,210.0,175.0,797.0,802.0,80.0,78.0,81.0,80.0,63.0,False
16503978,175,2023-03-11 19:28:09+00:00,51.1610692,4.6846814,15.0,16.0,241.0,282.0,825.0,832.0,82.0,84.0,84.0,84.0,61.0,False
5233147,155,2023-06-22 12:54:09+00:00,51.0339693,3.7158187,36.0,31.0,182.0,200.0,850.0,866.0,87.0,87.0,87.0,89.0,12.0,False
2340760,155,2023-06-29 22:57:44+00:00,51.0167175,3.7717054,25.0,21.0,355.0,358.0,797.0,799.0,52.0,56.0,50.0,57.0,60.0,False
10387670,175,2023-08-08 09:29:07+00:00,51.2256071,4.4404867,17.0,26.0,227.0,276.0,800.0,791.0,81.0,81.0,81.0,79.0,66.0,False
5897208,116,2023-03-08 16:04:27+00:00,50.9789058,3.8006625,40.0,37.0,193.0,169.0,792.0,799.0,83.0,80.0,87.0,84.0,47.0,False
6376097,175,2023-07-08 09:56:11+00:00,51.190779,5.1154076,46.0,43.0,227.0,276.0,796.0,800.0,82.0,82.0,81.0,81.0,61.0,False
8036227,116,2023-07-27 04:33:29+00:00,51.0547572,3.741035,35.0,34.0,193.0,169.0,803.0,795.0,82.0,80.0,86.0,84.0,17.0,False
