,mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,z_outlier
1023854,116,2023-02-02 14:43:20+00:00,51.0414675,3.6828253,25.0,12.0,210.0,175.0,805.0,801.0,77.0,76.0,79.0,75.0,False
4034268,164,2023-03-23 13:55:53+00:00,50.9306726,5.3280687,18.0,25.0,251.0,251.0,800.0,799.0,81.0,81.0,76.0,78.0,False
9999631,155,2023-05-09 05:48:34+00:00,50.7456505,3.6126193,22.0,25.0,434.0,420.0,1430.0,1359.0,70.0,73.0,70.0,75.0,False
7440351,155,2023-07-24 15:09:29+00:00,50.9432511,3.7762196,37.0,40.0,265.0,289.0,1278.0,1261.0,89.0,90.0,90.0,92.0,False
7134125,116,2023-03-17 06:34:48+00:00,51.0159882,3.7747509,48.0,53.0,0.0,3.0,0.0,0.0,77.0,75.0,79.0,76.0,False
12693169,123,2023-02-09 05:44:31+00:00,50.9902996,5.3488053,34.0,29.0,372.0,362.0,1950.0,1569.0,79.0,78.0,81.0,82.0,False
15100662,164,2023-03-18 11:13:37+00:00,50.9365939,5.3066801,23.0,17.0,262.0,255.0,806.0,799.0,82.0,81.0,76.0,77.0,False
16596413,116,2023-02-10 04:50:06+00:00,51.1327406,3.654947,36.0,46.0,386.0,358.0,1542.0,1534.0,76.0,75.0,76.0,74.0,False
15638032,175,2023-04-11 07:39:12+00:00,51.1466661,4.5270962,27.0,28.0,379.0,451.0,1913.0,1935.0,82.0,82.0,83.0,84.0,False
8503544,116,2023-08-22 13:16:29+00:00,51.0402975,3.6935944,41.0,42.0,200.0,172.0,806.0,796.0,82.0,78.0,84.0,81.0,False
10986869,116,2023-02-08 08:00:02+00:00,51.0012456,3.6606361,27.0,39.0,348.0,341.0,1910.0,1915.0,85.0,80.0,87.0,84.0,False
1461590,164,2023-08-18 20:15:09+00:00,51.168331,4.9845898,42.0,43.0,382.5,365.0,1909.0,0.0,85.0,82.0,83.5,85.0,False
11145720,164,2023-07-31 16:15:22+00:00,51.1741441,4.9011297,42.0,35.0,217.0,217.0,795.0,798.0,81.0,79.0,81.0,82.0,False
9748679,123,2023-04-08 18:45:36+00:00,51.1418261,5.2214861,37.0,33.0,355.0,362.0,1899.0,1892.0,81.0,81.0,81.0,85.0,False
9764902,116,2023-07-11 20:39:21+00:00,50.9712776,3.7919885,41.0,36.0,196.0,162.0,799.0,798.0,82.0,85.0,89.0,87.0,False
3024287,123,2023-02-15 14:50:36+00:00,51.1923829,5.1252871,32.0,34.0,393.0,386.0,1498.0,1503.0,81.0,81.0,84.0,87.0,False
15593586,155,2023-08-14 12:14:35+00:00,51.0404012,3.692944,30.0,29.0,438.0,477.5,799.0,803.0,50.0,46.0,46.0,45.5,False
1661105,116,2023-05-19 06:22:22+00:00,51.0315565,3.7269677,34.0,35.0,189.0,169.0,799.0,800.0,82.0,82.0,86.0,87.0,False
2644009,116,2023-02-13 09:43:24+00:00,51.0398801,3.6932791,17.0,29.0,220.0,175.0,804.0,794.0,77.0,76.0,77.0,74.0,False
11728591,175,2023-06-28 06:21:02+00:00,51.2460876,5.5419029,27.0,20.0,231.0,286.0,801.0,800.0,82.0,82.0,83.0,81.0,False
2570204,116,2023-03-28 11:42:32+00:00,50.7692162,3.8721011,5.0,4.0,0.0,24.0,0.0,0.0,5.0,2.0,5.0,2.0,True
9971459,155,2023-05-05 13:25:05+00:00,51.0351805,3.713199,26.0,31.0,272.0,286.0,802.0,799.0,70.0,72.0,69.0,69.0,False
3739001,175,2023-08-18 06:39:57+00:00,51.2053868,5.249714,23.0,32.0,210.0,255.0,800.0,796.0,82.0,81.0,81.0,82.0,False
6109247,116,2023-02-01 15:57:40+00:00,50.868404,3.8146472,34.0,12.0,200.0,165.0,798.0,795.0,79.0,81.0,80.0,84.0,False
15693692,175,2023-06-09 06:29:57+00:00,51.190512,5.1134726,24.0,27.0,224.0,265.0,800.0,800.0,82.0,82.0,80.0,81.0,False
11541545,175,2023-03-31 16:37:13+00:00,51.0378191,5.286335,27.0,27.0,372.0,445.0,1853.0,1839.0,84.0,83.0,88.0,87.0,False
6903367,116,2023-04-24 08:19:28+00:00,51.0398479,3.6933929,22.0,25.0,241.0,172.0,808.0,793.0,77.0,76.0,76.0,75.0,False
2736164,155,2023-06-16 16:42:25+00:00,50.851043,3.601031,31.0,41.0,189.0,210.0,810.0,798.0,84.0,86.0,84.0,85.0,False
7486736,123,2023-05-16 16:47:54+00:00,51.1744659,4.8979416,50.0,48.0,358.0,382.0,1498.0,1499.0,81.0,86.0,82.0,88.0,False
5444678,164,2023-02-06 11:34:44+00:00,51.0359083,5.3065235,31.0,25.0,393.0,351.0,1676.0,1684.0,84.0,85.0,84.0,85.0,False
7224343,164,2023-01-23 14:45:49+00:00,51.1806335,4.8271113,17.0,8.0,438.0,417.0,1918.0,1950.0,81.0,80.0,77.0,80.0,False
7365254,155,2023-04-23 09:01:53+00:00,50.7423743,3.6027098,18.0,31.0,213.0,227.0,803.0,797.0,76.0,80.0,79.0,82.0,False
9375849,175,2023-08-04 00:43:58+00:00,51.1907662,5.1138025,18.0,16.0,231.0,279.0,795.0,804.0,82.0,83.0,82.0,81.0,False
4940220,123,2023-04-08 16:17:39+00:00,51.1809661,4.8279754,36.0,33.0,189.0,186.0,818.0,804.0,78.0,80.0,81.0,84.0,False
3291950,164,2023-08-11 08:45:50+00:00,51.1599535,5.1833167,50.0,40.0,327.6666666666667,0.0,1346.3333333333333,272.6666666666667,85.0,27.666666666666668,82.0,82.33333333333333,True
10133422,164,2023-06-30 22:35:32+00:00,51.1900706,5.1121465,31.0,34.0,210.0,207.0,798.0,799.0,83.0,81.0,81.0,82.0,False
4509930,116,2023-06-07 17:17:12+00:00,50.7745026,3.8731165,38.0,40.0,210.0,172.0,795.0,799.0,78.0,76.0,82.0,78.0,False
16531504,175,2023-03-27 08:35:57+00:00,51.135867,4.5605045,17.0,18.0,210.0,251.0,796.0,799.0,82.0,81.0,84.0,84.0,False
4879142,164,2023-06-30 05:30:25+00:00,51.1441183,4.5904695,35.0,41.0,403.0,376.0,1886.0,1892.0,86.0,85.0,81.0,82.0,False
151360,164,2023-06-13 20:42:09+00:00,51.1897193,5.1101359,29.0,38.0,241.0,238.0,800.0,798.0,81.0,79.0,77.0,78.0,False
4197658,155,2023-05-04 06:39:27+00:00,50.8994821,3.806554,35.0,33.0,186.0,207.0,798.0,797.0,87.0,88.0,89.0,90.0,False
8466975,164,2023-04-25 08:50:16+00:00,51.1739796,4.9035307,19.0,41.0,217.0,200.0,813.0,799.0,78.0,85.0,83.0,89.0,False
