feature_id,count_date,time_gap,count
CAT17,2020/11/05,42,5
CAT17,2020/11/05,43,11
CAT17,2020/11/05,44,14
CAT17,2020/11/05,45,11
CAT17,2020/11/05,46,26
CAT17,2020/11/05,47,22
CAT17,2020/11/05,48,19
CAT17,2020/11/05,49,21
CAT17,2020/11/05,50,21
CAT17,2020/11/05,51,26
CAT17,2020/11/05,52,24
CB1143,2020/11/05,42,1
CB1143,2020/11/05,43,0
CB1143,2020/11/05,44,0
CB1143,2020/11/05,45,1
CB1143,2020/11/05,46,0
CB1143,2020/11/05,47,0
CB1143,2020/11/05,48,1
CB1143,2020/11/05,49,2
CB1143,2020/11/05,50,1
CB1143,2020/11/05,51,0
CB1143,2020/11/05,52,1
