,mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,time_diff,week,corr_z_outlier,LOF_status,month
2719179,164,2023-01-27 13:43:09+00:00,51.1968702,4.434304,18.0,15.0,224.0,376.0,803.0,1497.0,82.0,85.0,82.0,85.0,54.0,4,corr_ok,lof_ok,January
12577390,164,2023-02-25 20:58:41+00:00,51.1837302,5.0756257,26.0,35.0,200.0,189.0,796.0,801.0,83.0,82.0,78.0,82.0,61.0,8,corr_ok,lof_ok,February
15580137,164,2023-08-26 05:43:23+00:00,51.1907831,5.1148866,16.0,17.0,305.0,301.5,798.0,600.25,70.0,68.0,59.75,60.0,10.0,34,corr_ok,lof_ok,August
6810051,116,2023-08-22 15:14:29+00:00,50.9281482,3.640486,49.0,41.0,172.0,158.0,804.0,794.0,86.0,83.0,92.0,91.0,50.0,34,corr_ok,lof_ok,August
9817163,116,2023-05-04 14:12:48+00:00,50.9435322,4.0386704,35.0,41.0,213.0,165.0,806.0,803.0,81.0,80.0,81.0,78.0,1.0,18,corr_ok,lof_ok,May
6272762,116,2023-08-16 08:37:54+00:00,51.0160988,3.7739056,22.0,20.0,496.0,451.0,806.0,789.0,38.0,35.0,26.0,25.0,16.0,33,corr_ok,lof_ok,August
15608175,116,2023-08-08 05:52:18+00:00,50.9614197,3.6279121,38.0,67.0,182.0,3.0,800.0,0.0,83.0,69.0,90.0,76.0,58.0,32,corr_ok,lof_ok,August
4946191,123,2023-04-08 05:04:25+00:00,51.190554,5.1144409,35.0,30.0,200.0,196.0,802.0,797.0,77.0,80.0,80.0,82.0,54.0,14,corr_ok,lof_ok,April
14431122,164,2023-08-05 03:59:48+00:00,51.2154535,4.4207056,25.0,26.0,241.0,234.0,804.0,797.0,81.0,80.0,77.0,77.0,61.0,31,corr_ok,lof_ok,August
16865000,164,2023-07-03 03:35:41+00:00,51.1359421,4.5604692,32.666666666666664,0.0,275.3333333333333,72.33333333333333,1037.6666666666667,267.3333333333333,82.0,0.0,82.33333333333333,82.33333333333333,9.0,27,corr_outlier,lof_outlier,July
15115153,164,2023-07-19 02:53:23+00:00,51.207489,5.270665,25.0,0.0,430.5,0.0,1871.5,0.0,83.0,0.0,82.0,82.5,29.0,29,corr_outlier,lof_outlier,July
